id,text,label,tagging_status
9705,hepinizden tiksiniyorum,,
9706,"Çin’de 40 banka iflas etti. Halk parasını çekmek için bankalara hücum edince,asker tanklarla bankaları korumaya aldı  https://twitter.com/XcwFinis/status/1549060042904989696/video/1…",,
9707,Kime düşünmeden el uzattıysam genelde hep darbe yiyen ben oldum ama ilahi adalet her zaman işler ve önüne de mutlaka da düşürür.                    #İlahiadalet,,
9708,heh tamam yememisim diyodum az daha host lan sen kim köpek bana gg atcan ama atmamış,,
9709,"Sevgili Eşim Ahmet Zeki  Özkan 4.evre Akciğer kanseri Şuan tedavisi yapılmıyor.Kanserli hücreler de yayılma başladı.yeni bir tedavi uygulanacak ama maalesef 2 haftadır.bir gelişme yok.

AhmetZekiÖzkan AcilTahliye",,
9710,VWMFKSNWHFKAKABJ AMK KELI??,,
9711,bebek gotu gibi sakalsiz erkek seviyorm galiba ben,,
9712,"Allahını seven şu tunç holding yazısını oradan kaldırsın bu ne aq 

Koskoca Galatasaray'ın forma tasarımı zaten rezillik buda üstüne sıçıp sıvamak olmuş",,
9713,"بسم الله ال.رمن الرحيم

""Şüphesiz ki Allah adâletli davranmayı, iyilik yapmayı ve akrabayı görüp gözetmeyi emreder. Her türlü hayâsızlığı, kötülüğü ve azgınlığı yasaklar. Düşünüp ders almanız için size böyle öğüt verir.""(Nahl s:90)

#hayirlicumalar 
#HayırlıSabahlar ",,
9714,"• 'güzeller güzeli partnerim & çok yakışıklı partnerim berk.'  
   11 Eylül, 2021.",,
9715,"ben, bu âşkın' mâhsun'u'yum..

aynı kitâp tâ raştlaşsâk'ta..
iki cümle eksiğim senden..",,
9716,Bir yol daha var dönmek de yasak,,
9718,"Devlet'in camisinden TÜRK milletinin vergilerinden maaş alıp TÜRK milletinin ne kıyafet giyeceğine karışacagına, Kur'an kurslarında erkek çocuklarına tecavüz edenler için tek kelime laf ettinmi imam ",,
9719,Dilan mazharoğlu gibi BANA BAK DÖRTGÖZ!!!! dememe ramak kalmıştı esenlerde indim..... Hoşçakal güzelliq,,
9720,En derin yaralarla başlar en derin gülücükler,,
9721,Benim bir arkadaşım vardı bikerebiyeregitik arkadaşımın hiç kız arkadaşı yoktu miyavla dedim kızlara miyavla ertesi gün süt kabı ve tabak almış süt içiyar ve kızlara miyavlıyo,,
9722,ben kuaför olmak istiyordum sonra kuzenim bitli saçlara falan dokuncaksin dedi öyle vazgeçtim,,
9723,tamam bos yapma saatini gectin güldün eglendin yallah,,
9724,"Bakıyorumda sürekli cenneti arıyorsunuz
Tekkede,Manastırda,Camide,Kilisede
Tek korkunuz Cehenneme gitmek
Korkma Dürüst ol
Ekme bu tohumu yüreğine
Varsa sana yetecek kadar yiyeceğin,birde başnı sokacak evin
İnsanoğluna kulluk etmiyorsan
Sevinbe kardeşim
Zaten Cennettesin

Ö.Hayyam",,
9725,"FETÖ üyesi bir savcının her türlü sahtekârlığı yaparak hazırladığı iddianameyle, resmen hukuk katledilerek ""CEZA VERİLEN"" 74-90 yaş arasındaki 14 KOMUTAN TAM 31 GÜNDÜR CEZAEVİNDE...
Kapkara bir hukuk ve insanlık dramı yaşanıyor!",,
9726,Bu hayin köpek  ölmek için bilmez ama ALLAH a dua edecek köpek  soyu,,
9727,"Mesela benim erkek kardeşim sevimsiz, istediği olmayınca bütün gün surat asıp asalak gibi ısrar eden, itici, iğrenç, hiç bir iş yapmayan sürekli sokaklarda sürtüp evde pislik çıkarıp toplamayan, annemi beni ve kız kardeşimi kölesi sanan yaratığın teki",,
9728,"Günaydın, hastayım. Geçmiş olsun demeyenin başına gelsin.",,
9729,Ortamcı kızla manita olmak mı… allah düşmanıma vermesin,,
9730,"Tatlı bir geliş, tebessüm tohumları eker yüzüne, bilirsin beklesende huzur görmesende...",,
9731,Sürekli kaybetmenin sebebini söyleyeyim çünkü iyi kalpli içindeki gerizekalı,,
9732,"Jorge Jesus'tan futbolculara: ""Hiç şüphe yok ki bu takım başarılı olacak. Bir takım kuruyoruz, 11 oyuncu kurmuyoruz. Eğer sizler isterseniz, bu sene mutlu olacaksınız."" 

Fenerbahçe YouTube",,
9733,dynamic model. Please follow this discussion for the inventory depletion problem:,,
9734,#HalloweenEnds trailer tomorrow. #halloweenmovie,,
9735,"eminim muhteşem olmuştur..
emeği geçenlerin ellerine sağlık..
mutlaka ziyaret edilmeli.. ",,
9736,Ingat kata mbak Bok Joo,,
9737,Sırtımız yasladığımız çoğu duvar çürük çıktı.,,
9738,Antakyada konserdeyim. Sanatçı 5 dk gecikmeye başladığından beri alkışlarla ve ıslıklarla protesto ediyor halk. Sizin benim umudumu yükseltmeye ne hakkınız var ??,,
9739,"Kaynak israfı bitti, insan israfı da bitecek insallah ",,
